_id,url,title,featured,artist_id,tags
1,01.jpg,Mask ___,TRUE,1,"Urban, Bright, Calm, Low, People, Funny, Buildings, Alternative"
2,02.jpg,Bicycle,TRUE,1,"Urban, Black/White, Calm, Low, Bicycle, Windows, Classical, Buildings"
3,03.jpg,Hatchback,TRUE,1,"Urban, Bright, Calm, Low, Yellow, Car, Retro, Buildings"
4,04.jpg,Boots,TRUE,1,"Urban, Pastels, Calm, Low, Clothing, Buildings, Work, Dirt"
5,05.jpg,Retro Car,TRUE,1,"Urban, Bright, Uplifting, Medium, Car, Retro, Colorful, Graffiti"
6,06.jpg,Red Bicylce,TRUE,1,"Urban, Bright, Calm, Medium, Bicycle, Red, Buildings, Retro"
7,07.jpg,Dog,TRUE,1,"Urban, Black/White, Sad, Medium, Animals, Dog, Buildings, Windows"
8,08.jpg,Coca Cola,TRUE,1,"Urban, Bright, Calm, Medium, Coca Cola, Modern, Buildings, Graffiti"
9,09.jpg,Kauai,TRUE,2,"Nature, Bright, Calm, Medium, Green, Mountain, Tree, Sky"
10,10.jpg,Luxor Obelisk,TRUE,2,"Nature, Earth tones, Uplifting, Low, Light, Monument, Cloud, Sky"
11,11.jpg,Quail Lake,,2,"Nature, Earth tones, Calm, Medium, Night, Sky, Star, Blue"
12,12.jpg,Sunset,,2,"Nature, Warm, Calm, Medium, Sunset, Sea, Red, Cloud"
13,13.jpg,Freighter,,2,"Nature, Earth tones, Calm, Medium, Sea, Boat, Blue, Industrial"
14,14.jpg,Zion,,2,"Nature, Earth tones, Uplifting, Medium, Cloud, Speed, Green, Mountain"
15,15.jpg,Grief,,4,"People, Bright, Calm, Medium, Green, Eyes, Old, Years"
16,16.jpg,Monkeys,,4,"Nature, Bright, Happy, Medium, Light, Animals, Green, Tree"
17,17.jpg,Angkor Wat at Dawn,,4,"Nature, Earth tones, Calm, Low, Reflection, Red, Colorful, Sunset"
18,18.jpg,Angkor Wat at Sunset,,4,"Nature, Bright, Calm, Low, Reflection, Orange, Colorful, Sunset"
19,20.jpg,Tree Reflections,,4,"Urban, Black/White, Sad, Medium, Reflection, Tree, Sombre, Shadows"
20,21.jpg,Street Reflections,,4,"Urban, Black/White, Sad, Medium, Reflection, Street, Sombre, Shadows"
21,22.jpg,Broadway,,4,"Urban, Black/White, Sad, Medium, Reflection, Street, Sombre, Shadows"
22,29.jpg,Clouded Mountains,,4,"Nature, Earth tones, Uplifting, Medium, Bright, Cloud, Tree, Mountain"
23,30.jpg,Mountain Reflection,,4,"Nature, Earth tones, Calm, Medium, Warm, Cloud, Water, Mountain"
24,34.jpg,Sheep,,4,"Nature, Earth tones, Calm, Medium, Animals, Mountain, Green, White"
25,36.jpg,Lone Sea Lion,,4,"Nature, Earth tones, Calm, Medium, Animals, Happy, Green, Pasture"
26,37.jpg,Whale Sighting,,4,"Nature, Bright, Happy, Medium, Animals, Sea, Cloud, Blue"
27,43.jpg,Over the Dunes,,5,"Nature, Earth tones, Calm, Low, Sand, Inmensity, Car, Desert"
28,44.jpg,Desert Peace,,5,"Nature, Earth tones, Calm, Low, Sand, Inmensity, Car, Desert"
29,45.jpg,Pair of Cheetahs,,5,"Nature, Earth tones, Calm, Medium, Animals, Green, Africa, Reflexion"
30,46.jpg,Deep in Thought,,5,"Nature, Earth tones, Calm, Medium, Animals, Green, Africa, Sad"
31,52.jpg,Desert Tree,,5,"Nature, Earth tones, Calm, Medium, Africa, Brown, Inmensity, Tree"
32,55.jpg,On the Prowl,,5,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Green"
33,57.jpg,Feeding Lion,,5,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Green"
34,60.jpg,Lionesses ,,5,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Green"
35,61.jpg,Oryxs,,5,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Brown"
36,62.jpg,Feeding,,5,"Nature, Earth tones, Calm, Medium, Africa, Animals, Energy, Brown"
37,64.jpg,Red Sand,,5,"Nature, Earth tones, Calm, Low, Africa, Red, Inmensity, Desert"
38,65.jpg,Sand Meets Beach,,5,"Nature, Earth tones, Calm, Low, Africa, Sea, Inmensity, Desert"
39,69.jpg,Shipwreck,,5,"Nature, Earth tones, Calm, Medium, Boat, Sea, Desert, Blue"
40,71.jpg,Desert Trees,,5,"Nature, Earth tones, Calm, Low, Africa, Brown, Tree, Desert"
41,74.jpg,Wild Dogs,,5,"Nature, Earth tones, Calm, Medium, Africa, Animals, Green, Energy"
42,75.jpg,Boats on Shore,,5,"Urban, Bright, Calm, Medium, Boat, Blue, Repetition, Canoe"
43,76.jpg,City from Above,,5,"Urban, Bright, Uplifting, Medium, Italy, Colorful, Sea, Green"
44,77.jpg,Flower Basket,,5,"Urban, Bright, Calm, Medium, Italy, Pink, Blue, Flower"
45,79.jpg,Privato ,,5,"Nature, Bright, Calm, Medium, Italy, Sea, Green, Vineyard"
46,80.jpg,Rock Formation,,5,"Nature, Bright, Calm, Medium, Sea, Blue, Rock, Reflexion"
47,81.jpg,Stone City,,5,"Nature, Bright, Calm, Medium, Buildings, Italy, Blue, Sky"
48,84.jpg,Buzzard,,7,"Nature, Black/White, Sad, Medium, Animals, Africa, Tree, Waiting"
49,86.jpg,Birds Waiting,,7,"Nature, Black/White, Calm, Low, Animals, Africa, Peaceful, Tree"
50,90.jpg,Oasis,,7,"Nature, Earth tones, Uplifting, Medium, Light, Africa, Water, cloud"
51,91.jpg,Plateau,,7,"Nature, Earth tones, Uplifting, Medium, Animals, Africa, Light, Green"
52,92.jpg,Predator,,7,"Nature, Black/White, Sad, Medium, Animals, Africa, Energy, Wildlife"
53,93.jpg,Stampede,,7,"Nature, Black/White, Uplifting, Medium, Animals, Africa, Energy, Dust"
54,94.jpg,Zebras,,7,"Nature, Black/White, Uplifting, Medium, Animals, Africa, Love, Peaceful"
55,95.jpg,Cracked Paint,,1,"Urban, Bright, Calm, Medium, Yellow, Buildings, Girl, Graffiti"
56,96.jpg,Rayos Luces,,1,"Urban, Bright, Calm, Medium, Yellow, Buildings, Girl, Graffiti"
57,97.jpg,No Parking,,1,"Urban, Bright, Calm, Low, Pink, Buildings, Door, Monotone"
58,98.jpg,Liquor Store,,1,"Urban, Bright, Calm, Medium, Colorful, Liquor, Bicycle, Store"
59,99.jpg,Wooden Door,,1,"Urban, Bright, Calm, Medium, Dog, Door, Yellow, Buildings"
60,100.jpg,Colorful Building,,1,"Urban, Bright, Uplifting, Medium, Blue, Yellow, Pink, Door"
61,101.jpg,Coca Cola Wall,,1,"Urban, Bright, Calm, Medium, Coca Cola, Red, Buildings, Door"
62,102.jpg,Blue and Pink,,1,"Urban, Bright, Calm, Low, Blue, Pink, Buildings, Door"
63,103.jpg,Sleeping Dog,,1,"Urban, Earth tones, Calm, Medium, Animals, Dog, Door, Buildings"
64,104.jpg,Blue Walls,,1,"Urban, Bright, Calm, Medium, Red, Blue, Door, Buildings"
65,105.jpg,Yellow Store,,1,"Urban, Bright, Uplifting, Medium, Store, Yellow, Door, Buildings"
66,106.jpg,Red,,1,"Urban, Bright, Calm, Medium, Red, Graffiti, Door, Buildings"
67,107.jpg,Blue Door,,1,"Urban, Bright, Calm, Low, Blue, Green, Door, Buildings"
68,108.jpg,Boarded Up,,1,"Urban, Earth tones, Sad, Medium, Red, Yellow, Door, Buildings"
69,111.jpg,Claudio,,6,"Urban, Bright, Uplifting, Medium, Colorful, Graffiti, Animals, Red"
70,112.jpg,A Journey Through Time,,3,"Urban, Black/White, Uplifting, Medium, Train, Rails, Light, Reflexion"
71,113.jpg,Berries,,3,"Nature, Bright, Calm, Low, Berries, Red, Simple, White"
72,115.jpg,Kaleidoscope,,3,"Urban, Bright, Uplifting, Medium, Colorful, Yellow, Blue, Canoe"
73,116.jpg,Lady on Charles Bridge,,3,"Urban, Black/White, Sad, Medium, People, Street, Old, Reflexion"
74,117.jpg,Lets Go Exploring Today,,3,"Nature, Bright, Calm, Low, Boat, Sea, Blue, Quote"
75,119.jpg,Like a Dream,,3,"Nature, Black/White, Calm, Medium, Tree, Light, Simple, Reflexion"
76,122.jpg,Paris Rooftops,,3,"Urban, Bright, Calm, Medium, Window, Buildings, Paris, White"
77,124.jpg,Pink Dahlia,,3,"Nature, Earth tones, Uplifting, Medium, Purple, Flower, Green, Closeup"
78,127.jpg,She Will Move Mountains,,3,"Nature, Earth tones, Calm, Medium, Mountain, Cloud, Tree, Quote"
79,128.jpg,Summer Dreams,,3,"Nature, Earth tones, Calm, Medium, Yellow, Flower, Bright, Closeup"
80,129.jpg,"Sunrise at Changi Beach, Singapore",,3,"Nature, Earth tones, Calm, Low, Sunset, Sea, Dark, Blue"
81,130.jpg,This Heart of Mine,,3,"Nature, Earth tones, Calm, Low, Mountain, Green, Reflexion, Quote"